time,x,y
34.366667,870,579
34.400000,870,577
34.433333,906,603
34.466667,1012,715
34.500000,1012,715
34.533333,1010,722
34.566667,1009,724
34.600000,1008,726
34.633333,1007,728
34.666667,1006,729
34.700000,1005,730
34.733333,1004,731
34.766667,1003,731
34.800000,1002,731
34.833333,1001,732
34.866667,1000,731
34.900000,999,730
34.933333,998,728
34.966667,998,728
35.000000,997,725
35.033333,996,723
35.066667,996,723
35.100000,994,718
35.133333,994,714
35.166667,993,710
35.200000,993,707
35.233333,992,702
35.266667,992,698
35.300000,991,694
35.333333,990,689
35.366667,990,684
35.400000,990,679
35.433333,989,673
35.466667,989,667
35.500000,989,667
35.533333,989,655
35.566667,989,655
35.600000,988,641
35.633333,988,635
35.666667,988,628
35.700000,988,621
35.733333,988,614
35.766667,988,607
35.800000,988,600
35.833333,988,592
35.866667,988,584
35.900000,988,577
35.933333,989,570
35.966667,989,562
36.000000,989,555
36.033333,989,555
36.066667,990,540
36.100000,990,532
36.133333,990,532
36.166667,991,518
36.200000,992,511
36.233333,992,504
36.266667,993,497
36.300000,994,491
36.333333,994,484
36.366667,995,478
36.400000,996,472
36.433333,997,466
36.466667,998,460
36.500000,998,455
36.533333,999,450
36.566667,999,450
36.600000,1001,440
36.633333,1001,440
36.666667,1002,432
36.700000,1003,428
36.733333,1004,424
36.766667,1005,421
36.800000,1006,419
36.833333,1008,416
36.866667,1009,414
36.900000,1010,412
36.933333,1011,411
36.966667,1012,409
37.000000,1013,408
37.033333,1014,408
37.066667,1016,408
37.100000,1016,408
37.133333,1018,409
37.166667,1018,409
37.200000,1020,410
37.233333,1022,412
37.266667,1023,414
37.300000,1024,416
37.333333,1026,419
37.366667,1027,422
37.400000,1028,425
37.433333,1029,428
37.466667,1030,432
37.500000,1032,437
37.533333,1033,441
37.566667,1033,441
37.600000,1035,450
37.633333,1037,455
37.666667,1037,455
37.700000,1039,466
37.733333,1040,472
37.766667,1042,479
37.800000,1043,485
37.833333,1044,491
37.866667,1045,498
37.900000,1046,505
37.933333,1047,512
37.966667,1048,519
38.000000,1049,526
38.033333,1050,533
